Time,Temperature (Â°C),Soil Nutrients,Soil Humidity
06:00,25.5,0.6,0.4
06:15,26.3,0.8,0.3
06:30,24.8,0.7,0.5
06:45,27.2,0.9,0.6
07:00,25.7,0.5,0.3
07:15,26.1,0.6,0.4
07:30,24.5,0.8,0.7
07:45,27.4,0.7,0.4
08:00,25.8,0.9,0.5
08:15,26.5,0.6,0.3
08:30,24.9,0.8,0.6
08:45,27.1,0.5,0.4
09:00,25.6,0.7,0.5
09:15,26.8,0.9,0.4
09:30,24.7,0.6,0.3
09:45,27.3,0.8,0.5
10:00,25.9,0.5,0.6
10:15,26.4,0.7,0.4
10:30,24.6,0.9,0.3
10:45,27.0,0.6,0.5
11:00,25.3,0.8,0.4
11:15,26.6,0.5,0.7
11:30,24.4,0.7,0.6
11:45,27.5,0.9,0.3
12:00,25.4,0.6,0.4
12:15,26.0,0.8,0.5
12:30,24.3,0.5,0.4
12:45,27.6,0.7,0.3
13:00,25.2,0.9,0.6
13:15,26.9,0.6,0.5
13:30,24.2,0.8,0.4
13:45,27.7,0.5,0.7
14:00,25.1,0.7,0.6
14:15,26.7,0.9,0.3
14:30,24.1,0.6,0.5
14:45,27.8,0.8,0.4
15:00,25.0,0.5,0.3
15:15,26.2,0.7,0.6
15:30,24.0,0.9,0.7
15:45,27.9,0.6,0.4
16:00,28.0,0.8,0.5
16:15,25.0,0.7,0.4
16:30,26.2,0.5,0.3
16:45,24.0,0.8,0.6
17:00,27.9,0.6,0.5
17:15,28.0,0.9,0.4
17:30,26.5,0.6,0.3
17:45,24.9,0.8,0.6
18:00,27.1,0.5,0.4
18:15,25.6,0.7,0.5
18:30,26.8,0.9,0.4
18:45,24.7,0.6,0.3
19:00,27.3,0.8,0.5
19:15,25.9,0.5,0.6
19:30,26.4,0.7,0.4
